Timestamp,1. open,2. high,3. low,4. close,5. volume,Time,Date,Minute,Hour,Year,Month,Day
2024-08-22 12:26:00,559.36,559.76,559.34,559.7001,89353.0,12:26:00,2024-08-22,26,12,2024,8,22
2024-08-22 12:27:00,559.7301,559.92,559.62,559.674,66955.0,12:27:00,2024-08-22,27,12,2024,8,22
2024-08-22 12:28:00,559.65,559.696,559.56,559.61,50629.0,12:28:00,2024-08-22,28,12,2024,8,22
2024-08-22 12:29:00,559.6104,559.7515,559.61,559.68,48102.0,12:29:00,2024-08-22,29,12,2024,8,22
2024-08-22 12:30:00,559.68,560.05,559.67,559.8842,81921.0,12:30:00,2024-08-22,30,12,2024,8,22
2024-08-22 12:31:00,559.88,559.955,559.74,559.78,77084.0,12:31:00,2024-08-22,31,12,2024,8,22
2024-08-22 12:32:00,559.78,559.89,559.76,559.86,52541.0,12:32:00,2024-08-22,32,12,2024,8,22
2024-08-22 12:33:00,559.86,559.9,559.61,559.7299,92597.0,12:33:00,2024-08-22,33,12,2024,8,22
2024-08-22 12:34:00,559.74,559.88,559.69,559.84,65625.0,12:34:00,2024-08-22,34,12,2024,8,22
2024-08-22 12:35:00,559.84,559.988,559.84,559.9601,45194.0,12:35:00,2024-08-22,35,12,2024,8,22
2024-08-22 12:36:00,559.97,560.05,559.84,559.8701,67167.0,12:36:00,2024-08-22,36,12,2024,8,22
2024-08-22 12:37:00,559.87,559.945,559.8,559.81,56618.0,12:37:00,2024-08-22,37,12,2024,8,22
2024-08-22 12:38:00,559.83,559.92,559.785,559.87,52762.0,12:38:00,2024-08-22,38,12,2024,8,22
2024-08-22 12:39:00,559.89,559.94,559.75,559.75,61265.0,12:39:00,2024-08-22,39,12,2024,8,22
2024-08-22 12:40:00,559.74,559.89,559.73,559.83,25786.0,12:40:00,2024-08-22,40,12,2024,8,22
2024-08-22 12:41:00,559.82,559.93,559.6601,559.93,34663.0,12:41:00,2024-08-22,41,12,2024,8,22
2024-08-22 12:42:00,559.92,560.07,559.885,559.92,57071.0,12:42:00,2024-08-22,42,12,2024,8,22
2024-08-22 12:43:00,559.93,559.995,559.77,559.875,27744.0,12:43:00,2024-08-22,43,12,2024,8,22
2024-08-22 12:44:00,559.8499,559.93,559.805,559.87,520013.0,12:44:00,2024-08-22,44,12,2024,8,22
2024-08-22 12:45:00,559.86,559.89,559.53,559.64,81996.0,12:45:00,2024-08-22,45,12,2024,8,22
2024-08-22 12:46:00,559.64,559.7,559.512,559.63,45641.0,12:46:00,2024-08-22,46,12,2024,8,22
2024-08-22 12:47:00,559.63,559.7299,559.56,559.58,59251.0,12:47:00,2024-08-22,47,12,2024,8,22
2024-08-22 12:48:00,559.6,559.64,559.18,559.2,96548.0,12:48:00,2024-08-22,48,12,2024,8,22
2024-08-22 12:49:00,559.23,559.365,559.08,559.2,103348.0,12:49:00,2024-08-22,49,12,2024,8,22
2024-08-22 12:50:00,559.21,559.29,558.89,558.99,130401.0,12:50:00,2024-08-22,50,12,2024,8,22
2024-08-22 12:51:00,559.0,559.02,558.63,558.65,155529.0,12:51:00,2024-08-22,51,12,2024,8,22
2024-08-22 12:52:00,558.69,558.75,558.38,558.585,117644.0,12:52:00,2024-08-22,52,12,2024,8,22
2024-08-22 12:53:00,558.57,558.57,558.32,558.38,56559.0,12:53:00,2024-08-22,53,12,2024,8,22
2024-08-22 12:54:00,558.3427,558.4,557.76,557.7901,138665.0,12:54:00,2024-08-22,54,12,2024,8,22
2024-08-22 12:55:00,557.8,557.82,557.52,557.68,163791.0,12:55:00,2024-08-22,55,12,2024,8,22
2024-08-22 12:56:00,557.68,557.8399,557.51,557.615,111191.0,12:56:00,2024-08-22,56,12,2024,8,22
2024-08-22 12:57:00,557.63,557.77,557.261,557.39,107768.0,12:57:00,2024-08-22,57,12,2024,8,22
2024-08-22 12:58:00,557.38,557.53,557.31,557.48,90741.0,12:58:00,2024-08-22,58,12,2024,8,22
2024-08-22 12:59:00,557.4797,557.75,557.47,557.58,76460.0,12:59:00,2024-08-22,59,12,2024,8,22
2024-08-22 13:00:00,557.5894,557.5894,557.27,557.42,94632.0,13:00:00,2024-08-22,0,13,2024,8,22
2024-08-22 13:01:00,557.4,557.65,557.38,557.49,88688.0,13:01:00,2024-08-22,1,13,2024,8,22
2024-08-22 13:02:00,557.47,557.62,557.24,557.32,114656.0,13:02:00,2024-08-22,2,13,2024,8,22
2024-08-22 13:03:00,557.34,557.375,556.97,557.11,191838.0,13:03:00,2024-08-22,3,13,2024,8,22
2024-08-22 13:04:00,557.11,557.5,557.09,557.41,127027.0,13:04:00,2024-08-22,4,13,2024,8,22
